"Survey","Quarter","Country","Ship","Gear","SweepLngt","GearExp","DoorType","StNo","HaulNo","Year","SpecCodeType","SpecCode","SpecVal","Sex","TotalNo","CatIdentifier","NoMeas","SubFactor","SubWgt","CatCatchWgt","LngtCode","LngtClass","HLNoAtLngt","Valid_Aphia","scientificname"
"BTS",3,"ENG","COR","BT4A",NA,NA,NA,NA,201,1990,"T",160901,1,"M",2,1,NA,1,NA,1700,".",4400,1,105883,"Raja clavata"
"BTS",3,"ENG","COR","BT4A",NA,NA,NA,NA,201,1990,"T",160901,1,"M",2,1,NA,1,NA,1700,".",4500,1,105883,"Raja clavata"
"BTS",3,"ENG","COR","BT4A",NA,NA,NA,NA,201,1990,"T",160901,1,"F",1,1,NA,1,NA,405,".",3900,1,105883,"Raja clavata"
"BTS",3,"NED","ISI","BT8",NA,NA,NA,"32F177",77,1990,"T",160901,1,"U",1,1,NA,1,NA,NA,"1",33,1,105883,"Raja clavata"
"BTS",3,"NED","ISI","BT8",NA,NA,NA,"33F178",78,1990,"T",160901,1,"U",7,1,NA,1,NA,NA,"1",44,1,105883,"Raja clavata"
"BTS",3,"NED","ISI","BT8",NA,NA,NA,"33F178",78,1990,"T",160901,1,"U",7,1,NA,1,NA,NA,"1",47,1,105883,"Raja clavata"
"BTS",3,"NED","ISI","BT8",NA,NA,NA,"33F178",78,1990,"T",160901,1,"U",7,1,NA,1,NA,NA,"1",50,2,105883,"Raja clavata"
"BTS",3,"NED","ISI","BT8",NA,NA,NA,"33F178",78,1990,"T",160901,1,"U",7,1,NA,1,NA,NA,"1",56,3,105883,"Raja clavata"
"BTS",3,"NED","ISI","BT8",NA,NA,NA,"33F279",79,1990,"T",160901,1,"U",2,1,NA,1,NA,NA,"1",47,1,105883,"Raja clavata"
"BTS",3,"NED","ISI","BT8",NA,NA,NA,"33F279",79,1990,"T",160901,1,"U",2,1,NA,1,NA,NA,"1",49,1,105883,"Raja clavata"
"BTS",3,"ENG","COR","BT4A",NA,NA,NA,NA,207,1990,"T",160901,1,"M",1,1,NA,1,NA,120,".",2600,1,105883,"Raja clavata"
"BTS",3,"ENG","COR","BT4A",NA,NA,NA,NA,191,1990,"T",160901,1,"M",1,1,NA,1,NA,15,".",1400,1,105883,"Raja clavata"
"BTS",3,"ENG","COR","BT4A",NA,NA,NA,NA,206,1990,"T",160901,1,"F",1,1,NA,1,NA,130,".",2700,1,105883,"Raja clavata"
"BTS",3,"ENG","COR","BT4A",NA,NA,NA,"66",183,1990,"T",160901,1,"M",1,1,NA,1,NA,150,".",2800,1,105883,"Raja clavata"
"BTS",3,"ENG","COR","BT4A",NA,NA,NA,NA,193,1990,"T",160901,1,"M",1,1,NA,1,NA,15,".",1300,1,105883,"Raja clavata"
"BTS",3,"ENG","COR","BT4A",NA,NA,NA,NA,198,1990,"T",160901,1,"M",2,1,NA,1,NA,1045,".",4100,1,105883,"Raja clavata"
"BTS",3,"ENG","COR","BT4A",NA,NA,NA,NA,198,1990,"T",160901,1,"M",2,1,NA,1,NA,1045,".",4200,1,105883,"Raja clavata"
"BTS",3,"ENG","COR","BT4A",NA,NA,NA,NA,198,1990,"T",160901,1,"F",4,1,NA,1,NA,1600,".",2400,1,105883,"Raja clavata"
"BTS",3,"ENG","COR","BT4A",NA,NA,NA,NA,198,1990,"T",160901,1,"F",4,1,NA,1,NA,1600,".",3600,1,105883,"Raja clavata"
"BTS",3,"ENG","COR","BT4A",NA,NA,NA,NA,198,1990,"T",160901,1,"F",4,1,NA,1,NA,1600,".",4000,1,105883,"Raja clavata"
"BTS",3,"ENG","COR","BT4A",NA,NA,NA,NA,198,1990,"T",160901,1,"F",4,1,NA,1,NA,1600,".",4400,1,105883,"Raja clavata"
"BTS",3,"ENG","COR","BT4A",NA,NA,NA,NA,202,1990,"T",160901,1,"M",1,1,NA,1,NA,2190,".",6300,1,105883,"Raja clavata"
"BTS",3,"ENG","COR","BT4A",NA,NA,NA,NA,199,1990,"T",160901,1,"M",3,1,NA,1,NA,2300,".",3900,1,105883,"Raja clavata"
"BTS",3,"ENG","COR","BT4A",NA,NA,NA,NA,199,1990,"T",160901,1,"M",3,1,NA,1,NA,2300,".",4300,1,105883,"Raja clavata"
"BTS",3,"ENG","COR","BT4A",NA,NA,NA,NA,199,1990,"T",160901,1,"M",3,1,NA,1,NA,2300,".",5800,1,105883,"Raja clavata"
"BTS",3,"ENG","COR","BT4A",NA,NA,NA,"12",91,1990,"T",160901,1,"M",1,1,NA,1,NA,3340,".",7800,1,105883,"Raja clavata"
"BTS",3,"ENG","COR","BT4A",NA,NA,NA,"10",92,1990,"T",160901,1,"M",1,1,NA,1,NA,2700,".",7700,1,105883,"Raja clavata"
"BTS",3,"ENG","COR","BT4A",NA,NA,NA,"10",92,1990,"T",160901,1,"F",1,1,NA,1,NA,4700,".",8600,1,105883,"Raja clavata"
"BTS",3,"ENG","COR","BT4A",NA,NA,NA,"44",120,1990,"T",160901,1,"M",1,1,NA,1,NA,295,".",3800,1,105883,"Raja clavata"
"BTS",3,"ENG","COR","BT4A",NA,NA,NA,"44",120,1990,"T",160901,1,"F",1,1,NA,1,NA,310,".",3600,1,105883,"Raja clavata"
"BTS",3,"ENG","COR","BT4A",NA,NA,NA,"43",123,1990,"T",160901,1,"M",6,1,NA,1,NA,935,".",1900,1,105883,"Raja clavata"
"BTS",3,"ENG","COR","BT4A",NA,NA,NA,"43",123,1990,"T",160901,1,"M",6,1,NA,1,NA,935,".",2700,1,105883,"Raja clavata"
"BTS",3,"ENG","COR","BT4A",NA,NA,NA,"43",123,1990,"T",160901,1,"M",6,1,NA,1,NA,935,".",3200,2,105883,"Raja clavata"
"BTS",3,"ENG","COR","BT4A",NA,NA,NA,"43",123,1990,"T",160901,1,"M",6,1,NA,1,NA,935,".",3300,1,105883,"Raja clavata"
"BTS",3,"ENG","COR","BT4A",NA,NA,NA,"43",123,1990,"T",160901,1,"M",6,1,NA,1,NA,935,".",3400,1,105883,"Raja clavata"
"BTS",3,"ENG","COR","BT4A",NA,NA,NA,"43",123,1990,"T",160901,1,"F",3,1,NA,1,NA,480,".",2200,1,105883,"Raja clavata"
"BTS",3,"ENG","COR","BT4A",NA,NA,NA,"43",123,1990,"T",160901,1,"F",3,1,NA,1,NA,480,".",3100,1,105883,"Raja clavata"
"BTS",3,"ENG","COR","BT4A",NA,NA,NA,"43",123,1990,"T",160901,1,"F",3,1,NA,1,NA,480,".",3500,1,105883,"Raja clavata"
"BTS",3,"ENG","COR","BT4A",NA,NA,NA,"47",128,1990,"T",160901,1,"F",1,1,NA,1,NA,3900,".",7800,1,105883,"Raja clavata"
"BTS",3,"ENG","COR","BT4A",NA,NA,NA,"49",143,1990,"T",160901,1,"M",1,1,NA,1,NA,280,".",3700,1,105883,"Raja clavata"
"BTS",3,"ENG","COR","BT4A",NA,NA,NA,"50",146,1990,"T",160901,1,"M",1,1,NA,1,NA,735,".",5000,1,105883,"Raja clavata"
"BTS",3,"ENG","COR","BT4A",NA,NA,NA,"52",149,1990,"T",160901,1,"F",1,1,NA,1,NA,1980,".",6900,1,105883,"Raja clavata"
"BTS",3,"ENG","COR","BT4A",NA,NA,NA,"53",152,1990,"T",160901,1,"F",1,1,NA,1,NA,420,".",4100,1,105883,"Raja clavata"
"BTS",3,"ENG","COR","BT4A",NA,NA,NA,"54",155,1990,"T",160901,1,"M",1,1,NA,1,NA,490,".",4300,1,105883,"Raja clavata"
"BTS",3,"ENG","COR","BT4A",NA,NA,NA,"54",155,1990,"T",160901,1,"F",2,1,NA,1,NA,1510,".",4700,1,105883,"Raja clavata"
"BTS",3,"ENG","COR","BT4A",NA,NA,NA,"54",155,1990,"T",160901,1,"F",2,1,NA,1,NA,1510,".",4900,1,105883,"Raja clavata"
"BTS",3,"ENG","COR","BT4A",NA,NA,NA,"59",168,1990,"T",160901,1,"M",3,1,NA,1,NA,730,".",2800,1,105883,"Raja clavata"
"BTS",3,"ENG","COR","BT4A",NA,NA,NA,"59",168,1990,"T",160901,1,"M",3,1,NA,1,NA,730,".",3100,1,105883,"Raja clavata"
"BTS",3,"ENG","COR","BT4A",NA,NA,NA,"59",168,1990,"T",160901,1,"M",3,1,NA,1,NA,730,".",4000,1,105883,"Raja clavata"
"BTS",3,"ENG","COR","BT4A",NA,NA,NA,"59",168,1990,"T",160901,1,"F",3,1,NA,1,NA,1020,".",3300,1,105883,"Raja clavata"
"BTS",3,"ENG","COR","BT4A",NA,NA,NA,"59",168,1990,"T",160901,1,"F",3,1,NA,1,NA,1020,".",3800,1,105883,"Raja clavata"
"BTS",3,"ENG","COR","BT4A",NA,NA,NA,"59",168,1990,"T",160901,1,"F",3,1,NA,1,NA,1020,".",4000,1,105883,"Raja clavata"
"BTS",3,"ENG","COR","BT4A",NA,NA,NA,"58",165,1990,"T",160901,1,"F",2,1,NA,1,NA,885,".",3900,1,105883,"Raja clavata"
"BTS",3,"ENG","COR","BT4A",NA,NA,NA,"58",165,1990,"T",160901,1,"F",2,1,NA,1,NA,885,".",4200,1,105883,"Raja clavata"
"BTS",3,"ENG","COR","BT4A",NA,NA,NA,"74",8,1990,"T",160901,1,"M",5,1,NA,1,NA,815,".",2500,1,105883,"Raja clavata"
"BTS",3,"ENG","COR","BT4A",NA,NA,NA,"74",8,1990,"T",160901,1,"M",5,1,NA,1,NA,815,".",2600,1,105883,"Raja clavata"
"BTS",3,"ENG","COR","BT4A",NA,NA,NA,"74",8,1990,"T",160901,1,"M",5,1,NA,1,NA,815,".",2800,1,105883,"Raja clavata"
"BTS",3,"ENG","COR","BT4A",NA,NA,NA,"74",8,1990,"T",160901,1,"M",5,1,NA,1,NA,815,".",2900,1,105883,"Raja clavata"
"BTS",3,"ENG","COR","BT4A",NA,NA,NA,"74",8,1990,"T",160901,1,"M",5,1,NA,1,NA,815,".",3500,1,105883,"Raja clavata"
"BTS",3,"ENG","COR","BT4A",NA,NA,NA,"74",8,1990,"T",160901,1,"F",7,1,NA,1,NA,1105,".",2400,2,105883,"Raja clavata"
"BTS",3,"ENG","COR","BT4A",NA,NA,NA,"74",8,1990,"T",160901,1,"F",7,1,NA,1,NA,1105,".",2500,2,105883,"Raja clavata"
"BTS",3,"ENG","COR","BT4A",NA,NA,NA,"74",8,1990,"T",160901,1,"F",7,1,NA,1,NA,1105,".",3000,1,105883,"Raja clavata"
"BTS",3,"ENG","COR","BT4A",NA,NA,NA,"74",8,1990,"T",160901,1,"F",7,1,NA,1,NA,1105,".",3400,1,105883,"Raja clavata"
"BTS",3,"ENG","COR","BT4A",NA,NA,NA,"74",8,1990,"T",160901,1,"F",7,1,NA,1,NA,1105,".",3800,1,105883,"Raja clavata"
"BTS",3,"ENG","COR","BT4A",NA,NA,NA,"70",20,1990,"T",160901,1,"M",1,1,NA,1,NA,870,".",5000,1,105883,"Raja clavata"
"BTS",3,"ENG","COR","BT4A",NA,NA,NA,"70",20,1990,"T",160901,1,"F",1,1,NA,1,NA,740,".",4500,1,105883,"Raja clavata"
"BTS",3,"ENG","COR","BT4A",NA,NA,NA,"75",11,1990,"T",160901,1,"M",1,1,NA,1,NA,125,".",2700,1,105883,"Raja clavata"
"BTS",3,"ENG","COR","BT4A",NA,NA,NA,"38",40,1990,"T",160901,1,"M",1,1,NA,1,NA,95,".",2500,1,105883,"Raja clavata"
"BTS",3,"ENG","COR","BT4A",NA,NA,NA,"16",50,1990,"T",160901,1,"M",1,1,NA,1,NA,485,".",4100,1,105883,"Raja clavata"
"BTS",3,"ENG","COR","BT4A",NA,NA,NA,"33",53,1990,"T",160901,1,"M",1,1,NA,1,NA,610,".",4300,1,105883,"Raja clavata"
"BTS",3,"ENG","COR","BT4A",NA,NA,NA,"31",67,1990,"T",160901,1,"M",2,1,NA,1,NA,4800,".",6100,1,105883,"Raja clavata"
"BTS",3,"ENG","COR","BT4A",NA,NA,NA,"31",67,1990,"T",160901,1,"M",2,1,NA,1,NA,4800,".",7500,1,105883,"Raja clavata"
"BTS",3,"ENG","COR","BT4A",NA,NA,NA,"32",68,1990,"T",160901,1,"M",1,1,NA,1,NA,1125,".",4900,1,105883,"Raja clavata"
"BTS",3,"ENG","COR","BT4A",NA,NA,NA,NA,190,1990,"T",160901,1,"M",2,1,NA,1,NA,400,".",2400,1,105883,"Raja clavata"
"BTS",3,"ENG","COR","BT4A",NA,NA,NA,NA,190,1990,"T",160901,1,"M",2,1,NA,1,NA,400,".",3800,1,105883,"Raja clavata"
"BTS",3,"ENG","COR","BT4A",NA,NA,NA,NA,190,1990,"T",160901,1,"F",7,1,NA,1,NA,935,".",1200,1,105883,"Raja clavata"
"BTS",3,"ENG","COR","BT4A",NA,NA,NA,NA,190,1990,"T",160901,1,"F",7,1,NA,1,NA,935,".",1300,1,105883,"Raja clavata"
"BTS",3,"ENG","COR","BT4A",NA,NA,NA,NA,190,1990,"T",160901,1,"F",7,1,NA,1,NA,935,".",1400,1,105883,"Raja clavata"
"BTS",3,"ENG","COR","BT4A",NA,NA,NA,NA,190,1990,"T",160901,1,"F",7,1,NA,1,NA,935,".",3000,1,105883,"Raja clavata"
"BTS",3,"ENG","COR","BT4A",NA,NA,NA,NA,190,1990,"T",160901,1,"F",7,1,NA,1,NA,935,".",3100,1,105883,"Raja clavata"
"BTS",3,"ENG","COR","BT4A",NA,NA,NA,NA,190,1990,"T",160901,1,"F",7,1,NA,1,NA,935,".",3200,1,105883,"Raja clavata"
"BTS",3,"ENG","COR","BT4A",NA,NA,NA,NA,190,1990,"T",160901,1,"F",7,1,NA,1,NA,935,".",3800,1,105883,"Raja clavata"
"BTS",3,"ENG","COR","BT4A",NA,NA,NA,NA,192,1990,"T",160901,1,"F",1,1,NA,1,NA,785,".",4900,1,105883,"Raja clavata"
"BTS",3,"ENG","COR","BT4A",NA,NA,NA,"51",140,1990,"T",160901,1,"M",1,1,NA,1,NA,745,".",5900,1,105883,"Raja clavata"
"BTS",3,"NED","ISI","BT8",NA,NA,NA,"33F280",80,1990,"T",160901,1,"U",1,1,NA,1,NA,NA,"1",55,1,105883,"Raja clavata"
"BTS",3,"ENG","COR","BT4A",NA,NA,NA,"64",182,1990,"T",160901,1,"F",1,1,NA,1,NA,500,".",4200,1,105883,"Raja clavata"
"BTS",3,"ENG","COR","BT4A",NA,NA,NA,"42",117,1990,"T",160901,1,"M",1,1,NA,1,NA,1910,".",7100,1,105883,"Raja clavata"
"BTS",3,"ENG","COR","BT4A",NA,NA,NA,"45",124,1990,"T",160901,1,"M",6,1,NA,1,NA,800,".",2000,1,105883,"Raja clavata"
"BTS",3,"ENG","COR","BT4A",NA,NA,NA,"45",124,1990,"T",160901,1,"M",6,1,NA,1,NA,800,".",2200,1,105883,"Raja clavata"
"BTS",3,"ENG","COR","BT4A",NA,NA,NA,"45",124,1990,"T",160901,1,"M",6,1,NA,1,NA,800,".",3000,1,105883,"Raja clavata"
"BTS",3,"ENG","COR","BT4A",NA,NA,NA,"45",124,1990,"T",160901,1,"M",6,1,NA,1,NA,800,".",3100,2,105883,"Raja clavata"
"BTS",3,"ENG","COR","BT4A",NA,NA,NA,"45",124,1990,"T",160901,1,"M",6,1,NA,1,NA,800,".",3600,1,105883,"Raja clavata"
"BTS",3,"ENG","COR","BT4A",NA,NA,NA,"45",124,1990,"T",160901,1,"F",4,1,NA,1,NA,1195,".",2200,1,105883,"Raja clavata"
"BTS",3,"ENG","COR","BT4A",NA,NA,NA,"45",124,1990,"T",160901,1,"F",4,1,NA,1,NA,1195,".",3100,1,105883,"Raja clavata"
"BTS",3,"ENG","COR","BT4A",NA,NA,NA,"45",124,1990,"T",160901,1,"F",4,1,NA,1,NA,1195,".",3400,1,105883,"Raja clavata"
"BTS",3,"ENG","COR","BT4A",NA,NA,NA,"45",124,1990,"T",160901,1,"F",4,1,NA,1,NA,1195,".",4400,1,105883,"Raja clavata"
"BTS",3,"NED","ISI","BT8",NA,NA,NA,"33F469",69,1990,"T",160901,1,"U",2,1,NA,1,NA,NA,"1",33,1,105883,"Raja clavata"
"BTS",3,"NED","ISI","BT8",NA,NA,NA,"33F469",69,1990,"T",160901,1,"U",2,1,NA,1,NA,NA,"1",36,1,105883,"Raja clavata"
"BTS",3,"ENG","COR","BT4A",NA,NA,NA,NA,196,1990,"T",160901,1,"F",1,1,NA,1,NA,6300,".",8900,1,105883,"Raja clavata"
"BTS",3,"ENG","COR","BT4A",NA,NA,NA,NA,200,1990,"T",160901,1,"M",13,1,NA,1,NA,8700,".",2400,1,105883,"Raja clavata"
"BTS",3,"ENG","COR","BT4A",NA,NA,NA,NA,200,1990,"T",160901,1,"M",13,1,NA,1,NA,8700,".",2700,1,105883,"Raja clavata"
"BTS",3,"ENG","COR","BT4A",NA,NA,NA,NA,200,1990,"T",160901,1,"M",13,1,NA,1,NA,8700,".",3700,1,105883,"Raja clavata"
"BTS",3,"ENG","COR","BT4A",NA,NA,NA,NA,200,1990,"T",160901,1,"M",13,1,NA,1,NA,8700,".",3800,2,105883,"Raja clavata"
"BTS",3,"ENG","COR","BT4A",NA,NA,NA,NA,200,1990,"T",160901,1,"M",13,1,NA,1,NA,8700,".",3900,1,105883,"Raja clavata"
"BTS",3,"ENG","COR","BT4A",NA,NA,NA,NA,200,1990,"T",160901,1,"M",13,1,NA,1,NA,8700,".",4000,1,105883,"Raja clavata"
"BTS",3,"ENG","COR","BT4A",NA,NA,NA,NA,200,1990,"T",160901,1,"M",13,1,NA,1,NA,8700,".",4100,2,105883,"Raja clavata"
"BTS",3,"ENG","COR","BT4A",NA,NA,NA,NA,200,1990,"T",160901,1,"M",13,1,NA,1,NA,8700,".",4200,1,105883,"Raja clavata"
"BTS",3,"ENG","COR","BT4A",NA,NA,NA,NA,200,1990,"T",160901,1,"M",13,1,NA,1,NA,8700,".",5100,1,105883,"Raja clavata"
"BTS",3,"ENG","COR","BT4A",NA,NA,NA,NA,200,1990,"T",160901,1,"M",13,1,NA,1,NA,8700,".",5900,1,105883,"Raja clavata"
"BTS",3,"ENG","COR","BT4A",NA,NA,NA,NA,200,1990,"T",160901,1,"M",13,1,NA,1,NA,8700,".",7200,1,105883,"Raja clavata"
"BTS",3,"ENG","COR","BT4A",NA,NA,NA,NA,200,1990,"T",160901,1,"F",5,1,NA,1,NA,2100,".",2500,1,105883,"Raja clavata"
"BTS",3,"ENG","COR","BT4A",NA,NA,NA,NA,200,1990,"T",160901,1,"F",5,1,NA,1,NA,2100,".",4000,1,105883,"Raja clavata"
"BTS",3,"ENG","COR","BT4A",NA,NA,NA,NA,200,1990,"T",160901,1,"F",5,1,NA,1,NA,2100,".",4100,1,105883,"Raja clavata"
"BTS",3,"ENG","COR","BT4A",NA,NA,NA,NA,200,1990,"T",160901,1,"F",5,1,NA,1,NA,2100,".",4200,1,105883,"Raja clavata"
"BTS",3,"ENG","COR","BT4A",NA,NA,NA,NA,200,1990,"T",160901,1,"F",5,1,NA,1,NA,2100,".",4300,1,105883,"Raja clavata"
"BTS",3,"ENG","COR","BT4A",NA,NA,NA,NA,203,1990,"T",160901,1,"M",1,1,NA,1,NA,3000,".",7300,1,105883,"Raja clavata"
"BTS",3,"ENG","COR","BT4A",NA,NA,NA,NA,203,1990,"T",160901,1,"F",1,1,NA,1,NA,7000,".",9000,1,105883,"Raja clavata"
"BTS",3,"ENG","COR","BT4A",NA,NA,NA,"39",99,1991,"T",160901,1,"F",1,1,NA,1,NA,20,".",1600,1,105883,"Raja clavata"
"BTS",3,"ENG","COR","BT4A",NA,NA,NA,"16",101,1991,"T",160901,1,"M",2,1,NA,1,NA,730,".",3400,1,105883,"Raja clavata"
"BTS",3,"ENG","COR","BT4A",NA,NA,NA,"16",101,1991,"T",160901,1,"M",2,1,NA,1,NA,730,".",4100,1,105883,"Raja clavata"
"BTS",3,"ENG","COR","BT4A",NA,NA,NA,"16",101,1991,"T",160901,1,"F",2,1,NA,1,NA,555,".",3400,1,105883,"Raja clavata"
"BTS",3,"ENG","COR","BT4A",NA,NA,NA,"16",101,1991,"T",160901,1,"F",2,1,NA,1,NA,555,".",3500,1,105883,"Raja clavata"
"BTS",3,"ENG","COR","BT4A",NA,NA,NA,"17",102,1991,"T",160901,1,"F",2,1,NA,1,NA,840,".",4000,2,105883,"Raja clavata"
"BTS",3,"ENG","COR","BT4A",NA,NA,NA,NA,122,1991,"T",160901,1,"M",1,1,NA,1,NA,85,".",2400,1,105883,"Raja clavata"
"BTS",3,"ENG","COR","BT4A",NA,NA,NA,NA,123,1991,"T",160901,1,"F",2,1,NA,1,NA,1200,".",3700,1,105883,"Raja clavata"
"BTS",3,"ENG","COR","BT4A",NA,NA,NA,NA,123,1991,"T",160901,1,"F",2,1,NA,1,NA,1200,".",5000,1,105883,"Raja clavata"
"BTS",3,"ENG","COR","BT4A",NA,NA,NA,NA,124,1991,"T",160901,1,"M",3,1,NA,1,NA,745,".",3200,2,105883,"Raja clavata"
"BTS",3,"ENG","COR","BT4A",NA,NA,NA,NA,124,1991,"T",160901,1,"M",3,1,NA,1,NA,745,".",3500,1,105883,"Raja clavata"
"BTS",3,"ENG","COR","BT4A",NA,NA,NA,NA,124,1991,"T",160901,1,"F",3,1,NA,1,NA,1400,".",3200,1,105883,"Raja clavata"
"BTS",3,"ENG","COR","BT4A",NA,NA,NA,NA,124,1991,"T",160901,1,"F",3,1,NA,1,NA,1400,".",4500,1,105883,"Raja clavata"
"BTS",3,"ENG","COR","BT4A",NA,NA,NA,NA,124,1991,"T",160901,1,"F",3,1,NA,1,NA,1400,".",4600,1,105883,"Raja clavata"
"BTS",3,"ENG","COR","BT4A",NA,NA,NA,NA,125,1991,"T",160901,1,"F",2,1,NA,1,NA,1800,".",5100,1,105883,"Raja clavata"
"BTS",3,"ENG","COR","BT4A",NA,NA,NA,NA,125,1991,"T",160901,1,"F",2,1,NA,1,NA,1800,".",5700,1,105883,"Raja clavata"
"BTS",3,"ENG","COR","BT4A",NA,NA,NA,"79",133,1991,"T",160901,1,"M",1,1,NA,1,NA,1600,".",6300,1,105883,"Raja clavata"
"BTS",3,"ENG","COR","BT4A",NA,NA,NA,"82",135,1991,"T",160901,1,"M",2,1,NA,1,NA,170,".",2300,1,105883,"Raja clavata"
"BTS",3,"ENG","COR","BT4A",NA,NA,NA,"82",135,1991,"T",160901,1,"M",2,1,NA,1,NA,170,".",2400,1,105883,"Raja clavata"
"BTS",3,"ENG","COR","BT4A",NA,NA,NA,"82",135,1991,"T",160901,1,"F",1,1,NA,1,NA,40,".",1900,1,105883,"Raja clavata"
"BTS",3,"ENG","COR","BT4A",NA,NA,NA,"83",136,1991,"T",160901,1,"M",3,1,NA,1,NA,610,".",2300,1,105883,"Raja clavata"
"BTS",3,"ENG","COR","BT4A",NA,NA,NA,"83",136,1991,"T",160901,1,"M",3,1,NA,1,NA,610,".",2900,1,105883,"Raja clavata"
"BTS",3,"ENG","COR","BT4A",NA,NA,NA,"83",136,1991,"T",160901,1,"M",3,1,NA,1,NA,610,".",4000,1,105883,"Raja clavata"
"BTS",3,"ENG","COR","BT4A",NA,NA,NA,"83",136,1991,"T",160901,1,"F",8,1,NA,1,NA,1255,".",3200,1,105883,"Raja clavata"
"BTS",3,"ENG","COR","BT4A",NA,NA,NA,"83",136,1991,"T",160901,1,"F",8,1,NA,1,NA,1255,".",4200,1,105883,"Raja clavata"
"BTS",3,"ENG","COR","BT4A",NA,NA,NA,"83",136,1991,"T",160901,1,"F",8,1,NA,1,NA,1255,".",2400,1,105883,"Raja clavata"
"BTS",3,"ENG","COR","BT4A",NA,NA,NA,"83",136,1991,"T",160901,1,"F",8,1,NA,1,NA,1255,".",2500,4,105883,"Raja clavata"
"BTS",3,"ENG","COR","BT4A",NA,NA,NA,"83",136,1991,"T",160901,1,"F",8,1,NA,1,NA,1255,".",2600,1,105883,"Raja clavata"
"BTS",3,"ENG","COR","BT4A",NA,NA,NA,"96",137,1991,"T",160901,1,"M",2,1,NA,1,NA,1035,".",2800,1,105883,"Raja clavata"
"BTS",3,"ENG","COR","BT4A",NA,NA,NA,"96",137,1991,"T",160901,1,"M",2,1,NA,1,NA,1035,".",5300,1,105883,"Raja clavata"
"BTS",3,"ENG","COR","BT4A",NA,NA,NA,"83",138,1991,"T",160901,0,"M",1,1,NA,1,NA,690,".",4900,1,105883,"Raja clavata"
"BTS",3,"ENG","COR","BT4A",NA,NA,NA,"5",73,1991,"T",160901,1,"M",1,1,NA,1,NA,865,".",4800,1,105883,"Raja clavata"
